Index,Structure,MW,#Atoms,SlogP,TPSA,Flexibility,#RB,HBA,HBD,Rof5,LF Rank Score,LF dG,LF VSscore,LF LE,Unnamed: 15,Unnamed: 16
344,Clc1cccc(N2C(O)=CC(=O)C(=N2)C(=O)Nc3ccncc3)c1C,356.8,25,2.8,94.9,1.3,4,7,2,0,-6.5858384656882,-4.76655158957111,-2.40379773048683,-0.118019169117549,,HBA = Hydrogen bond acceptor in molecule
568,Fc1ccc2c(c(n[nH]2)C(=O)Nc3ccc4c[nH]nc4c3)c1,295.3,22,3.1,86.5,0.5,2,6,3,0,-0.839486486147425,-0.114948803719106,0.028847860469476,-0.150442486511011,,HBD = Hydogen bond donor in molecule
430,Clc1c(nn(Cc2ccc(F)cc2)c1C)C(=O)NCc3cnccc3,358.8,25,3.7,59.8,4.3,5,5,1,0,-2.23571679983227,1.1819234119892,-4.76187690022265,-0.177198208306724,,
276,Clc1c(nn(Cc2ccc(C)cc2)c1-c3ccc(F)cc3)C(=O)NCc4cnccc4,434.9,31,5.3,59.8,4.3,6,5,1,1,-7.93013353029915,-0.908779701301345,-14.2776573349594,-0.347416959350649,,Rof5 = Rule of 5
498,Clc1c(nn(Cc2cccc(c2)C)c1-c3ccc(F)cc3)C(=O)Nc4ccc5c[nH]nc5c4,459.9,33,6.1,75.6,2.5,5,6,2,1,-10.3196660412802,-4.3291151616065,-17.0326459556423,-0.374547011726954,,
2,Fc1c(-c2ccc=3c(c2)=C(NN3)C(=O)Nc4ccncc4)cccn1,332.3,25,2.5,79.6,0.5,2,6,1,0,-1.92032882060748,-3.05582302749403,0.797030016736878,-0.0815130950076781,,"LF Rank score, LF dG, LF VS score, and LF LE are results of molecules that how good they bind with the disease target protein. More negative value means superior molecule in term of binding with the target protein"
372,Clc1cc(N2C(O)=CC(=O)C(=N2)C(=O)Nc3ccncc3)ccc1C,356.8,25,2.8,94.9,1.3,4,7,2,0,-7.01225606313458,-4.89474492791662,-1.41183706393644,-0.11446651926646,,
158,Fc1ccc(-c2c(nc(s2)-n3cccc3)C(=O)Nc4ccncc4)cc1,364.4,26,4.7,59.8,0.8,4,5,1,0,-3.72308339385207,1.46964922613874,-4.64242467707178,-0.229754952855553,,
732,Fc1cccc(NC(=O)c2c3ccccn3c(n2)C(=O)NCc4cnccc4)c1,389.4,29,3.3,88.4,2.8,5,7,2,0,-7.01730028971994,-7.02504556677522,-7.89114988511748,-0.197143910089566,,
210,Fc1ccccc1COc2c(non2)C(=O)Nc3ccc4c[nH]nc4c3,353.3,26,2.6,105.9,3,5,8,2,0,-8.43878753624105,-7.24329017009196,-3.39688093753487,-0.132265898624589,,
618,Clc1c(nn(CCOC(=O)C)c1-c2ccc(F)cc2)C(=O)NCc3cnccc3,416.8,29,3.5,86.1,5.3,7,7,1,0,-10.086019967004,-7.66908888083212,-8.47202400042168,-0.194238673010352,,
438,Clc1cccc(F)c1COc2c(non2)C(=O)Nc3ccc4c(nc[nH]4)c3,387.8,27,3.3,105.9,3,5,8,2,0,-10.4244727157476,-8.17669153288711,-4.9952937341061,-0.161466295631582,,
156,Fc1ccc(-c2c(nc(s2)C)C(=O)Nc3cccc4c3cccn4)cc1,363.4,26,5.3,54.9,0.5,3,4,1,1,-2.91142021449522,5.67470225739975,-5.94551066088349,-0.310196256752567,,
746,Clc1cc(NC(=O)c2csc(n2)Cc3ccc(OC)cc3)ccn1,359.8,24,4.1,64.1,3,5,5,1,0,-4.01762694120246,2.54544282928904,-4.30343619742022,-0.178103856494049,,
772,Clc1c(nn(c1-c2cccc([N+]([O-])=O)c2)-c3ccccc3)C(=O)NCCc4nn5cnnc5s4,494.9,34,3.6,135.8,3.8,7,11,1,1,-22.718394306747,-19.0462277537839,-11.4855684995397,-0.232933319865794,,
326,Fc1c(ccc(NC(=O)c2c(OCc3cnnn3Cc4ccccc4)non2)c1)C,408.4,30,2.7,108,5,7,9,1,0,-12.2726511439325,-12.4804279019122,-6.29769211366192,-0.164936538566164,,
622,Clc1c(nn(Cc2ccccc2F)c1-c3ccccc3)C(=O)Nc4ccc5c[nH]nc5c4,445.9,32,5.8,75.6,2.5,5,6,2,1,-10.4251544439235,-3.85046008028868,-15.8121337402833,-0.371074181841546,,
290,Fc1c(F)c(F)ccc1-c2nc(c3ccccn23)C(=O)NCc4cnccc4,382.3,28,4.6,59.3,2.3,4,5,1,0,-2.98004668628083,-0.387584543407154,-7.26168524853943,-0.227212302345617,,
110,Clc1c(nn(Cc2ccccc2)c1-c3ccc(F)cc3)C(=O)NCc4cnccc4,420.9,30,5,59.8,4.3,6,5,1,1,-7.8885587035076,-0.278668915803531,-12.4307766073492,-0.341368282098144,,
296,Fc1cccc(NC(=O)c2c(OCc3cnnn3Cc4ccccc4)non2)c1,394.4,29,2.4,108,5,7,9,1,0,-11.1093888377186,-11.7880623413844,-5.70799852135742,-0.154974196840895,,
414,Fc1ccc(-c2c(nc(s2)-n3cccc3)C(=O)Nc4cccc5c4cccn5)cc1,414.5,30,5.8,59.8,0.8,4,5,1,1,-7.42420341003149,1.03152430760145,-11.3531161673781,-0.362100108647832,,
590,Brc1ccc(s1)-c2cc(n[nH]2)C(=O)Nc3cccc4c3cccn4,399.3,24,4.8,70.7,0.6,3,5,2,0,-6.81399494484147,1.00498726793883,-5.71739557486872,-0.142059195745656,,
518,Clc1c(nn(Cc2ccc(C)cc2)c1-c3ccc(F)cc3)C(=O)Nc4ccc5c[nH]nc5c4,459.9,33,6.1,75.6,2.5,5,6,2,1,-10.8549736543348,-4.5576543508811,-17.2494378161922,-0.390841616909531,,
122,O=C(NCCc1nc(-c2ccc(OC)cc2)cs1)c3c(OCc4c(onc4C)C)non3,455.5,32,2.2,125.4,6.3,9,10,1,0,-17.7418312664007,-17.8909850013718,-9.36889608731432,-0.178277760465698,,
744,O=C(Nc1ccnc(c1)C)c2csc(n2)Cc3ccc(OC)cc3,339.4,24,3.7,64.1,3,5,5,1,0,-2.99481422646041,2.82004417821747,-2.44341547885388,-0.195580678332107,,
428,Clc1c(nn(Cc2ccc(F)cc2)c1CC)C(=O)NCc3cnccc3,372.8,26,3.9,59.8,5.3,6,5,1,0,-3.44653609167428,0.334171624436541,-7.24619940237703,-0.220210092920676,,
380,O=C(NCc1cnccc1)c2c(sc(n2)-c3cccc(NC(=O)C)c3)C,366.4,26,3.4,84,2.5,5,6,2,0,-5.64697400388905,-2.41586672597695,-5.16153232313376,-0.180655562486401,,
710,O=C(Nc1cccc(SC)c1)c2c3Cc4cc(OC)c(OC)cc4-c3n(n2)C,395.5,28,4,65.4,2.5,5,6,1,0,-5.77915669790496,-2.37120491878675,-6.96738871107983,-0.209359032411109,,
602,Fc1ccccc1Cn2c(cc(n2)C(=O)Nc3ccc4c[nH]nc4c3)-c5cccc([N+]([O-])=O)c5,456.4,34,5,121.4,2.8,6,9,2,1,-16.9739460611627,-12.5971687792343,-14.4798731646498,-0.332604021739137,,
332,O=C(NCc1cnccc1)c2c(nc(s2)CCc3ccncc3)C,338.4,24,3,67.8,5.3,6,5,1,0,-2.69525714811309,1.04542828306394,-3.73153670853878,-0.182988024217207,,
620,Clc1c(nn(Cc2ccc(F)cc2)c1-c3ccccc3)C(=O)Nc4ccc5c[nH]nc5c4,445.9,32,5.8,75.6,2.5,5,6,2,1,-9.66531007049393,-3.48001716634419,-15.9047235861853,-0.372747559255698,,
724,FC(F)(F)c1nc2cc(NC(=O)c3c4c([nH]n3)-c5cccc(OC)c5CC4)ccc2[nH]1,427.4,31,4.3,95.7,1.2,4,7,3,0,-9.6391651772261,-10.6599857576867,-11.9042424123077,-0.226556950843734,,
400,O=C(NCCc1nc(-c2ccc(OC)cc2)cs1)c3c(OCc4cnnn4Cc5ccccc5)non3,517.6,37,2.8,130.1,8.3,11,11,1,2,-24.4977463018186,-19.7592582090778,-18.4168316707028,-0.348428966894951,,
154,Fc1ccc(-c2cc(n[nH]2)C(=O)Nc3cccc4c3cccn4)cc1,332.3,25,4.3,70.7,0.5,3,5,2,0,-1.55837285573584,1.86543248404629,-3.42282305421393,-0.214579608281184,,
244,Clc1c(n(nc1C(=O)NCc2cnccc2)C)-c3ccc(F)cc3,344.8,24,3.5,59.8,2.3,4,5,1,0,-2.81788276206963,2.47520567096192,-2.43959472829216,-0.14166536898647,,
170,Clc1cccc(F)c1COc2c(non2)C(=O)NCc3cnccc3,362.7,25,2.5,90.1,4.8,6,7,1,0,-7.11529058368715,-5.0259625638145,-2.68028463602845,-0.117316637889756,,
246,Brc1c(n(nc1C(=O)NCc2cnccc2)C)-c3ccc(F)cc3,389.2,24,3.7,59.8,2.3,4,5,1,0,-4.5947013473273,0.419078201811483,-3.74473986461775,-0.118617642391547,,
392,Fc1ccc(OC)c(-c2cc(nn2C)C(=O)Nc3ccnc(c3)C)c1,340.4,25,3.5,69,1,4,6,1,0,-3.35553015664073,0.24275784474856,-2.13579617390995,-0.180629790725777,,
614,Brc1c(nn(c1-c2ccc(F)cc2)CCO)C(=O)NCc3cnccc3,419.3,26,3.5,80,5.3,7,6,2,0,-8.67655883905519,-4.04578471205765,-9.36985235738105,-0.171392675500431,,
704,O=S(=O)(N(C)C)c1c(C)ccc(c1)-c2nc(c3ccccn32)C(=O)NCc4cnccc4,449.5,32,2.9,96.7,4.3,6,8,1,0,-11.3103995354678,-13.2141468616756,-9.65413338078455,-0.156183947876651,,
508,Clc1c(nn(Cc2ccccc2F)c1-c3ccc(F)cc3)C(=O)Nc4ccc5c[nH]nc5c4,463.9,33,6.2,75.6,2.5,5,6,2,1,-10.7316718860654,-4.34375326020172,-17.2478646692994,-0.377274737186392,,
